work_id,state,district,constituency,house,mp_id,mp_name,work_title,category,implementing_agency,vendor_id,vendor_name,recommendation_date,sanction_date,estimated_cost_inr,sor_benchmark_cost_inr,expenditure_incurred_inr,completion_pct,days_stalled,work_status,latitude,longitude,photo_phash,photo_exif_lat,photo_exif_lon,anomaly_label
WRK00011,Odisha,Cuttack,Bhubaneswar,LS,MP018,Soumya Das,Health Centre at Cuttack Ward 2,Health Centre,Municipal Corporation,V018,Prime Works Ltd,2022-12-28,2023-02-04,5653742.75,5600000,1701506.39,33,45,Stalled,18.107324,81.528309,38602ab696a402f2,18.106616,81.528623,NORMAL
WRK00012,West Bengal,Kolkata,Howrah,LS,MP008,Anita Roy,Road Construction at Kolkata Ward 7,Road Construction,ZP,V019,City Developers,2021-04-14,2021-05-26,3342791.65,2800000,3343950.48,100,0,Completed,22.72115,86.342479,3e3511287900f7f9,22.721559,86.342958,NORMAL
WRK00013,Rajasthan,Jaipur,Jaipur Rural,LS,MP004,Sunita Devi,Drainage Works at Jaipur Ward 14,Drainage Works,District Panchayat,V011,Anand Construction,2023-03-14,2023-04-22,1884266.15,1900000,152755.78,8,116,Stalled,27.652494,70.033392,310c0c003fa7f104,27.652049,70.033309,NORMAL
WRK00014,Maharashtra,Nagpur,Nashik,LS,MP006,Meena Kulkarni,Street Lighting at Nagpur Ward 6,Street Lighting,District Panchayat,V018,Prime Works Ltd,2021-04-27,2021-06-04,1139907.09,1200000,0,0,0,Not Started,20.222221,73.412642,17e011b7f8102383,20.222834,73.413176,NORMAL
WRK00015,Arunachal Pradesh,Ziro,Arunachal West,LS,MP014,Col. Tenzing Norbu,Anganwadi Centre at Ziro Ward 18,Anganwadi Centre,PWD,V015,Reliable Constructions,2023-03-20,2023-04-02,2058097.62,2200000,1852953.25,100,0,Completed,27.732223,96.966457,b253d2186c4a37ea,27.73288,96.967261,NORMAL
WRK00016,Himachal Pradesh,Kangra,Shimla,LS,MP016,Rohit Verma,School Building at Kangra Ward 3,School Building,Municipal Corporation,V017,United Builders,2021-03-14,2021-04-30,4068469.15,4200000,1019836.35,27,23,In Progress,30.450427,77.321081,f5f59b220e8fa8e0,30.450438,77.321667,NORMAL
WRK00017,Uttarakhand,Dehradun,Garhwal,LS,MP020,Vikramaditya Rawat,Water Supply at Dehradun Ward 5,Water Supply,Municipal Corporation,V009,Heritage Contractors,2022-04-03,2022-05-20,3135681.68,3100000,954197.3,30,13,In Progress,30.226113,78.707294,b758588dab73295b,30.225846,78.706904,NORMAL
WRK00018,Rajasthan,Kota,Jodhpur,LS,MP010,Kavita Joshi,Health Centre at Kota Ward 27,Health Centre,District Panchayat,V012,Bright Future Infra,2021-05-19,2021-05-29,6841001.06,5600000,2154988.89,32,2,In Progress,26.64237,70.665618,3e896c64e117dac3,26.642182,70.665068,NORMAL
WRK00019,Odisha,Rourkela,Bhubaneswar,LS,MP018,Soumya Das,Library Building at Rourkela Ward 7,Library Building,District Panchayat,V004,Pioneer Projects Ltd,2023-12-10,2023-12-20,5098519.43,4100000,3004003.62,58,29,In Progress,22.306864,82.219176,8da01097be0f051b,22.306369,82.218837,NORMAL
WRK00020,Gujarat,Surat,Ahmedabad East,LS,MP011,Rameshwar Patel,Water Supply at Surat Ward 23,Water Supply,Block Development Office,V005,Golden Gate Contractors,2022-05-17,2022-05-30,3261707.23,3100000,3142773.53,100,0,Completed,21.372729,68.122692,430f801dfad409e2,21.372243,68.122602,NORMAL
WRK00021,Arunachal Pradesh,Itanagar,Arunachal West,LS,MP014,Col. Tenzing Norbu,Bridge Construction at Itanagar Ward 2,Bridge Construction,PWD,V002,Bharat Infra Works,2021-09-19,2021-11-02,7480829.12,8500000,7147052.46,100,0,Completed,28.202323,94.035742,e623a6895d59cd2a,28.202945,94.036512,NORMAL
WRK00022,Karnataka,Mysuru,Bengaluru South,LS,MP012,Anand Swaminathan,Water Supply at Mysuru Ward 11,Water Supply,Municipal Corporation,V006,Apex Construction Co,2022-10-28,2022-12-26,3461997.43,3100000,2585786.55,72,19,In Progress,17.980347,75.088992,698c206fe1a47e10,17.979664,75.089349,NORMAL
WRK00023,Arunachal Pradesh,Tawang,Arunachal West,LS,MP014,Col. Tenzing Norbu,Water Supply at Tawang Ward 28,Water Supply,Municipal Corporation,V008,Metro Build Solutions,2021-07-07,2021-08-10,2832405.33,3100000,892101.81,35,58,Stalled,29.263511,93.562985,a8f7ef5a060edf5b,29.26307,93.562702,NORMAL
WRK00024,Uttar Pradesh,Agra,Varanasi East,LS,MP003,Rajesh Gupta,Community Hall at Agra Ward 14,Community Hall,ZP,V006,Apex Construction Co,2023-02-05,2023-03-30,4205052.24,3800000,1779055.09,39,72,Stalled,24.649721,84.475045,fbc9f87af668a617,24.649384,84.474426,NORMAL
WRK00025,Karnataka,Mangaluru,Bengaluru South,LS,MP012,Anand Swaminathan,Drainage Works at Mangaluru Ward 12,Drainage Works,Block Development Office,V018,Prime Works Ltd,2023-10-28,2023-11-14,2075718.73,1900000,786453.54,44,8,In Progress,14.552403,76.391634,f0b5156bb82c9074,14.552751,76.391887,NORMAL
WRK00026,Arunachal Pradesh,Itanagar,Arunachal West,LS,MP014,Col. Tenzing Norbu,Health Centre at Itanagar Ward 24,Health Centre,Municipal Corporation,V018,Prime Works Ltd,2021-07-19,2021-09-13,6155868.12,5600000,2315761.21,37,69,Stalled,27.54593,95.61353,6ba25efe311c6eb6,27.546167,95.613334,NORMAL
WRK00027,Maharashtra,Aurangabad,Nashik,LS,MP006,Meena Kulkarni,Cremation Ground at Aurangabad Ward 29,Cremation Ground,DRDA,V015,Reliable Constructions,2020-12-03,2021-01-01,2037797.89,2100000,1965421.88,100,0,Completed,18.731918,78.034057,acf5e81e71316269,18.731507,78.034016,NORMAL
WRK00028,Maharashtra,Pune,Nashik,LS,MP006,Meena Kulkarni,Health Centre at Pune Ward 20,Health Centre,Municipal Corporation,V008,Metro Build Solutions,2022-11-03,2022-11-18,5914612.5,5600000,0,0,0,Not Started,19.656146,78.184204,0640be0f25b8fd4b,19.655494,78.184943,NORMAL
WRK00029,Uttar Pradesh,Kanpur,Varanasi East,LS,MP003,Rajesh Gupta,Drainage Works at Kanpur Ward 15,Drainage Works,DRDA,V004,Pioneer Projects Ltd,2021-12-10,2022-02-03,2288464.05,1900000,1730368.93,83,12,In Progress,28.164377,77.142141,2d06e8cf3805f907,28.164814,77.14246,NORMAL
WRK00030,Tamil Nadu,Trichy,Chennai Central,LS,MP002,Priya Nair,Water Supply at Trichy Ward 27,Water Supply,DRDA,V011,Anand Construction,2021-07-29,2021-09-06,3772662.82,3100000,3658337.88,100,0,Completed,10.968112,78.547486,d0a444329cd6c852,10.968427,78.547493,NORMAL
WRK00031,Odisha,Puri,Bhubaneswar,LS,MP018,Soumya Das,School Building at Puri Ward 10,School Building,DRDA,V017,United Builders,2023-07-24,2023-08-31,4819341.14,4200000,4516136.92,100,0,Completed,20.860775,86.071463,3d3f3799a07295e9,20.860451,86.070813,NORMAL
WRK00032,West Bengal,Durgapur,Howrah,LS,MP008,Anita Roy,Health Centre at Durgapur Ward 27,Health Centre,DRDA,V014,Kumar & Associates,2021-05-28,2021-06-15,5476149.43,5600000,5243168.26,100,0,Completed,22.37099,86.677207,8ae8905b54b4a482,22.370941,86.676527,NORMAL
WRK00033,Arunachal Pradesh,Ziro,Arunachal West,LS,MP014,Col. Tenzing Norbu,Cremation Ground at Ziro Ward 8,Cremation Ground,ZP,V014,Kumar & Associates,2020-12-14,2021-02-10,2579692.11,2100000,2268594.62,81,0,In Progress,27.465977,93.800921,bc10fa52bf5d2fdf,27.466043,93.801088,NORMAL
WRK00034,Himachal Pradesh,Kangra,Shimla,LS,MP016,Rohit Verma,Water Supply at Kangra Ward 1,Water Supply,ZP,V020,Horizon Build Co,2021-01-26,2021-03-01,3175436.61,3100000,2009401.81,71,23,In Progress,31.70217,76.133935,e82c7d7b06e745f9,31.702018,76.134044,NORMAL
WRK00035,Uttar Pradesh,Kanpur,Varanasi East,LS,MP003,Rajesh Gupta,Bridge Construction at Kanpur Ward 3,Bridge Construction,PWD,V013,Durga Projects,2021-12-26,2022-01-08,10172294.61,8500000,9654554.31,100,0,Completed,26.855546,79.665004,f3821cfdc083b73a,26.856023,79.664605,NORMAL
WRK00036,Himachal Pradesh,Shimla,Shimla,LS,MP016,Rohit Verma,Sports Facility at Shimla Ward 7,Sports Facility,Municipal Corporation,V020,Horizon Build Co,2022-11-24,2022-12-18,3047919.85,3500000,653594.03,25,24,In Progress,31.04185,78.553378,205004943d114802,31.041812,78.552731,NORMAL
WRK00037,Bihar,Muzaffarpur,Patna Sahib,LS,MP015,Dr. Sanjeev Kumar,Community Hall at Muzaffarpur Ward 23,Community Hall,PWD,V001,Sunrise Constructions Pvt Ltd,2021-06-25,2021-08-23,3485039.5,3800000,0,0,0,Not Started,27.387106,83.840494,ad66a1bd93676a02,27.387692,83.840292,NORMAL
WRK00038,Uttar Pradesh,Lucknow,Lucknow West,LS,MP007,Vinod Tiwari,Cremation Ground at Lucknow Ward 17,Cremation Ground,District Panchayat,V019,City Developers,2022-04-27,2022-05-13,2365116.11,2100000,1400663.29,58,27,In Progress,29.135932,83.151327,8861fe1858e25888,29.135829,83.151114,NORMAL
WRK00039,Gujarat,Ahmedabad,Ahmedabad East,LS,MP011,Rameshwar Patel,Drainage Works at Ahmedabad Ward 14,Drainage Works,ZP,V009,Heritage Contractors,2021-06-29,2021-08-05,2239971.5,1900000,676480.91,34,120,Stalled,20.91023,71.439179,eb6c1016cee624d0,20.910285,71.439154,NORMAL
WRK00040,Punjab,Jalandhar,Amritsar,LS,MP019,Harpreet Singh,Health Centre at Jalandhar Ward 11,Health Centre,PWD,V016,Star Infrastructure,2021-05-31,2021-06-27,6667837.48,5600000,1323515.61,20,89,Stalled,31.504565,74.84283,7cd0129d2e8d0e87,31.504151,74.843332,NORMAL
WRK00041,Tamil Nadu,Trichy,Coimbatore North,LS,MP009,Suresh Pillai,Water Supply at Trichy Ward 10,Water Supply,Block Development Office,V016,Star Infrastructure,2023-11-03,2023-11-25,3324180.87,3100000,3350811.55,100,0,Completed,10.73832,79.384292,7da67785b63b4dc3,10.738246,79.383586,NORMAL
WRK00042,West Bengal,Siliguri,Howrah,LS,MP008,Anita Roy,Water Supply at Siliguri Ward 11,Water Supply,PWD,V015,Reliable Constructions,2022-12-17,2023-01-26,3014695.48,3100000,2120720.8,64,13,In Progress,24.637214,87.242423,405bfdc94e7ed827,24.636827,87.242773,NORMAL
WRK00043,Rajasthan,Ajmer,Jaipur Rural,LS,MP004,Sunita Devi,School Building at Ajmer Ward 2,School Building,District Panchayat,V010,Shree Ram Builders,2023-08-23,2023-09-19,3891788.83,4200000,2306149.41,56,3,In Progress,25.132975,72.675753,88bd13d1b540b30e,25.132438,72.675031,NORMAL
WRK00044,Odisha,Rourkela,Bhubaneswar,LS,MP018,Soumya Das,Bridge Construction at Rourkela Ward 19,Bridge Construction,DRDA,V009,Heritage Contractors,2023-09-17,2023-10-03,9393756.83,8500000,2095052.64,23,90,Stalled,19.435388,87.289536,d2762bdc1d34d08e,19.434763,87.289523,NORMAL
WRK00045,Tamil Nadu,Coimbatore,Chennai Central,LS,MP002,Priya Nair,Bridge Construction at Coimbatore Ward 19,Bridge Construction,ZP,V008,Metro Build Solutions,2022-08-31,2022-09-15,9982883.06,8500000,1247194.56,12,101,Stalled,11.374115,79.521111,7354ea6f61607459,11.374702,79.520814,NORMAL
WRK00046,Arunachal Pradesh,Pasighat,Arunachal West,LS,MP014,Col. Tenzing Norbu,Cremation Ground at Pasighat Ward 20,Cremation Ground,ZP,V006,Apex Construction Co,2021-05-26,2021-07-23,2306662.95,2100000,2149011.25,100,0,Completed,28.515242,92.426637,2812859a1337739e,28.514527,92.426556,NORMAL
WRK00047,Himachal Pradesh,Mandi,Shimla,LS,MP016,Rohit Verma,Road Construction at Mandi Ward 8,Road Construction,Block Development Office,V019,City Developers,2022-06-10,2022-08-03,2639253.38,2800000,215764.34,9,117,Stalled,31.093664,78.390242,ef04e57dcdccc33a,31.09323,78.389595,NORMAL
WRK00048,West Bengal,Durgapur,Kolkata South,LS,MP005,Deepak Chatterjee,Bridge Construction at Durgapur Ward 29,Bridge Construction,ZP,V009,Heritage Contractors,2021-10-07,2021-12-06,7467793.45,8500000,3684680.32,56,14,In Progress,25.425465,88.668908,7e695d0d8a3c3b5e,25.425376,88.669064,NORMAL
WRK00049,Arunachal Pradesh,Pasighat,Arunachal West,LS,MP014,Col. Tenzing Norbu,Library Building at Pasighat Ward 19,Library Building,DRDA,V006,Apex Construction Co,2021-06-13,2021-07-07,3895603.36,4100000,246674.74,6,116,Stalled,28.271116,96.002343,a6c9537f84dad06a,28.271033,96.001981,NORMAL
WRK00050,Arunachal Pradesh,Ziro,Arunachal West,LS,MP014,Col. Tenzing Norbu,Road Construction at Ziro Ward 4,Road Construction,ZP,V013,Durga Projects,2023-03-17,2023-04-17,2906411.64,2800000,853810.88,33,27,In Progress,27.793771,94.423267,746f78910964fbbf,27.793179,94.422865,NORMAL
WRK00051,Assam,Guwahati,Guwahati,LS,MP013,Bikash Barua,Sports Facility at Guwahati Ward 21,Sports Facility,PWD,V005,Golden Gate Contractors,2021-03-31,2021-04-22,3621766.88,3500000,2887357.66,83,20,In Progress,24.301286,91.382454,e17f29e170286046,24.301571,91.381857,NORMAL
WRK00052,Uttarakhand,Haridwar,Garhwal,LS,MP020,Vikramaditya Rawat,School Building at Haridwar Ward 14,School Building,DRDA,V005,Golden Gate Contractors,2020-12-15,2021-01-29,4092060.23,4200000,2117852.26,48,26,In Progress,29.945909,78.011132,b77350caeec259dc,29.94561,78.011473,NORMAL
WRK00053,Himachal Pradesh,Kullu,Shimla,LS,MP016,Rohit Verma,Water Supply at Kullu Ward 26,Water Supply,PWD,V003,National Build Corp,2021-09-20,2021-10-24,3201415.23,3100000,3169102.19,100,0,Completed,32.538878,76.164128,ca3dd859c5ce099c,32.539387,76.163855,NORMAL
WRK00054,Telangana,Nizamabad,Secunderabad,LS,MP017,G. Krishna Reddy,Road Construction at Nizamabad Ward 23,Road Construction,ZP,V018,Prime Works Ltd,2022-07-19,2022-09-04,2696779.66,2800000,1961804.89,82,27,In Progress,18.00818,78.78757,749176f46090d697,18.008802,78.788129,NORMAL
WRK00055,West Bengal,Darjeeling,Howrah,LS,MP008,Anita Roy,Drainage Works at Darjeeling Ward 11,Drainage Works,DRDA,V005,Golden Gate Contractors,2023-04-10,2023-04-22,1792507.46,1900000,1546371.15,80,22,In Progress,23.673018,89.852497,097a1e10f6febc0e,23.672481,89.853227,NORMAL
WRK00056,Rajasthan,Kota,Jaipur Rural,LS,MP004,Sunita Devi,Bridge Construction at Kota Ward 11,Bridge Construction,PWD,V009,Heritage Contractors,2023-07-15,2023-07-25,9013233.7,8500000,6578404.51,72,27,In Progress,24.111401,73.631517,b15516bc9f8ded97,24.111254,73.630856,NORMAL
WRK00057,Odisha,Puri,Bhubaneswar,LS,MP018,Soumya Das,Health Centre at Puri Ward 23,Health Centre,Block Development Office,V008,Metro Build Solutions,2023-08-14,2023-09-27,6164030.16,5600000,5610889.28,100,0,Completed,20.829573,87.017668,6f18c1081723199d,20.830261,87.018068,NORMAL
WRK00058,Rajasthan,Kota,Jaipur Rural,LS,MP004,Sunita Devi,School Building at Kota Ward 20,School Building,ZP,V014,Kumar & Associates,2021-02-17,2021-03-01,4735921.95,4200000,1201485.76,27,9,In Progress,26.100945,71.648937,cae28e66ae8a7813,26.100485,71.648417,NORMAL
WRK00059,Assam,Dibrugarh,Guwahati,LS,MP013,Bikash Barua,Anganwadi Centre at Dibrugarh Ward 19,Anganwadi Centre,Block Development Office,V010,Shree Ram Builders,2021-09-27,2021-10-21,2673289.53,2200000,1270327.06,52,14,In Progress,24.13665,94.769188,287117338beddb12,24.136038,94.769889,NORMAL
WRK00060,Rajasthan,Kota,Jodhpur,LS,MP010,Kavita Joshi,Water Supply at Kota Ward 19,Water Supply,District Panchayat,V010,Shree Ram Builders,2022-08-20,2022-09-11,3201476.41,3100000,1018887.47,35,43,Stalled,27.117843,74.558345,d47d577bfa5a91ca,27.11807,74.557981,NORMAL
WRK00061,Tamil Nadu,Trichy,Chennai Central,LS,MP002,Priya Nair,Anganwadi Centre at Trichy Ward 22,Anganwadi Centre,ZP,V007,Delta Infratech,2022-06-12,2022-08-10,2602898.23,2200000,0,0,0,Not Started,11.378151,77.679748,ad81f8bd402913ec,11.378518,77.68014,NORMAL
WRK00062,West Bengal,Kolkata,Kolkata South,LS,MP005,Deepak Chatterjee,Road Construction at Kolkata Ward 17,Road Construction,Municipal Corporation,V007,Delta Infratech,2023-06-10,2023-06-22,2726004.83,2800000,1057325.96,36,2,In Progress,23.362299,87.503563,8a16a06cc958e75e,23.36284,87.503353,NORMAL
WRK00063,Tamil Nadu,Coimbatore,Coimbatore North,LS,MP009,Suresh Pillai,Water Supply at Coimbatore Ward 26,Water Supply,Block Development Office,V008,Metro Build Solutions,2023-08-17,2023-09-14,3768420.7,3100000,2086345.53,63,25,In Progress,13.299624,76.791179,aca5e2fdb966442a,13.300314,76.791869,NORMAL
WRK00064,Odisha,Rourkela,Bhubaneswar,LS,MP018,Soumya Das,Road Construction at Rourkela Ward 18,Road Construction,District Panchayat,V012,Bright Future Infra,2021-01-03,2021-01-29,3265563.8,2800000,2593515.78,78,11,In Progress,21.027236,84.965817,3bdbc09eacc216a0,21.027195,84.966001,NORMAL
WRK00065,Gujarat,Kutch,Ahmedabad East,LS,MP011,Rameshwar Patel,Water Supply at Kutch Ward 15,Water Supply,District Panchayat,V016,Star Infrastructure,2023-06-16,2023-08-09,3438088.95,3100000,2190612.28,72,3,In Progress,24.452803,70.047933,3c1bdacc18e19331,24.45336,70.047358,NORMAL
WRK00066,Karnataka,Hubballi,Bengaluru South,LS,MP012,Anand Swaminathan,Cremation Ground at Hubballi Ward 4,Cremation Ground,Municipal Corporation,V012,Bright Future Infra,2021-10-08,2021-11-13,2408505.97,2100000,1880233.32,82,19,In Progress,18.160651,74.150495,71d7966571818dcf,18.161299,74.151033,NORMAL
WRK00067,Karnataka,Mangaluru,Bengaluru South,LS,MP012,Anand Swaminathan,Road Construction at Mangaluru Ward 19,Road Construction,District Panchayat,V001,Sunrise Constructions Pvt Ltd,2022-01-07,2022-01-24,2825916.4,2800000,975888.81,34,41,Stalled,15.991931,76.746871,5560db22c96b5edb,15.991562,76.746312,NORMAL
WRK00068,Uttar Pradesh,Lucknow,Lucknow West,LS,MP007,Vinod Tiwari,Sports Facility at Lucknow Ward 28,Sports Facility,Municipal Corporation,V005,Golden Gate Contractors,2022-02-23,2022-03-19,3265020.32,3500000,1333925.52,38,25,In Progress,23.918431,83.623887,402adf9c8a4b8f7c,23.91886,83.623274,NORMAL
WRK00069,Maharashtra,Mumbai,Pune North,LS,MP001,Arjun Sharma,Road Construction at Mumbai Ward 15,Road Construction,DRDA,V003,National Build Corp,2022-03-17,2022-05-03,2781231.35,2800000,1008201.64,42,8,In Progress,19.605278,76.96651,c72c1fe372c22a16,19.60508,76.966653,NORMAL
WRK00070,Telangana,Warangal,Secunderabad,LS,MP017,G. Krishna Reddy,Library Building at Warangal Ward 11,Library Building,DRDA,V004,Pioneer Projects Ltd,2023-11-05,2023-12-04,3556118.66,4100000,899409.05,23,1,In Progress,19.273924,79.160859,e8e22743b65feea9,19.273843,79.161467,NORMAL
WRK00071,Uttarakhand,Haridwar,Garhwal,LS,MP020,Vikramaditya Rawat,Road Construction at Haridwar Ward 7,Road Construction,Block Development Office,V004,Pioneer Projects Ltd,2022-09-24,2022-10-28,2521334.58,2800000,923068.06,38,67,Stalled,30.334652,77.947125,e0b15abaa6a27967,30.335039,77.947493,NORMAL
WRK00072,Arunachal Pradesh,Ziro,Arunachal West,LS,MP014,Col. Tenzing Norbu,Water Supply at Ziro Ward 3,Water Supply,Block Development Office,V005,Golden Gate Contractors,2023-06-13,2023-07-18,3148128.83,3100000,963771.69,32,10,In Progress,28.528813,93.708376,79699ed2ec48bf55,28.528191,93.708919,NORMAL
WRK00073,Arunachal Pradesh,Itanagar,Arunachal West,LS,MP014,Col. Tenzing Norbu,Community Hall at Itanagar Ward 4,Community Hall,Block Development Office,V014,Kumar & Associates,2021-03-17,2021-05-03,4463889.31,3800000,1816808.87,40,72,Stalled,27.791345,96.654283,f7e8f8e50d2b91ef,27.79104,96.653978,NORMAL
WRK00074,Punjab,Ludhiana,Amritsar,LS,MP019,Harpreet Singh,Bridge Construction at Ludhiana Ward 30,Bridge Construction,ZP,V018,Prime Works Ltd,2022-03-20,2022-04-05,9457903.43,8500000,6594394.95,67,3,In Progress,31.2223,76.302386,accb461a9d132363,31.222505,76.30159,NORMAL
WRK00075,Tamil Nadu,Chennai,Coimbatore North,LS,MP009,Suresh Pillai,School Building at Chennai Ward 11,School Building,District Panchayat,V001,Sunrise Constructions Pvt Ltd,2022-08-25,2022-09-25,4029094.25,4200000,1534680.13,43,27,In Progress,11.649661,76.492259,87cdb6a1bf012e32,11.649252,76.492141,NORMAL
WRK00076,Maharashtra,Nagpur,Nashik,LS,MP006,Meena Kulkarni,Health Centre at Nagpur Ward 7,Health Centre,Block Development Office,V015,Reliable Constructions,2021-06-10,2021-06-23,6376374.97,5600000,6460322.38,100,0,Completed,15.868717,73.277127,7c54535f6c8c3b6a,15.868871,73.276999,NORMAL
WRK00077,Telangana,Hyderabad,Secunderabad,LS,MP017,G. Krishna Reddy,Community Hall at Hyderabad Ward 5,Community Hall,District Panchayat,V020,Horizon Build Co,2022-06-12,2022-08-04,3883468.72,3800000,3237889.32,82,16,In Progress,15.986211,79.018212,345512f701f7c7ec,15.985926,79.01778,NORMAL
WRK00078,Tamil Nadu,Madurai,Coimbatore North,LS,MP009,Suresh Pillai,Health Centre at Madurai Ward 15,Health Centre,District Panchayat,V012,Bright Future Infra,2023-08-20,2023-10-16,5028764.93,5600000,1779842.9,36,12,In Progress,9.342598,78.546639,dc9c96de65a674c2,9.342946,78.546546,NORMAL
WRK00079,Uttar Pradesh,Agra,Varanasi East,LS,MP003,Rajesh Gupta,Cremation Ground at Agra Ward 28,Cremation Ground,DRDA,V020,Horizon Build Co,2023-02-13,2023-04-09,2145598.8,2100000,1163380.37,57,3,In Progress,30.180298,78.406236,b08a4895d4ffa666,30.180901,78.405551,NORMAL
WRK00080,Rajasthan,Jodhpur,Jaipur Rural,LS,MP004,Sunita Devi,Drainage Works at Jodhpur Ward 12,Drainage Works,Block Development Office,V017,United Builders,2023-11-25,2023-12-10,2062542.18,1900000,1137653.32,59,23,In Progress,25.398094,70.979568,87d5b7be1d30d990,25.398108,70.980214,NORMAL
WRK00081,Karnataka,Mysuru,Bengaluru South,LS,MP012,Anand Swaminathan,Water Supply at Mysuru Ward 30,Water Supply,DRDA,V016,Star Infrastructure,2022-05-18,2022-06-09,2762477.61,3100000,2549574.75,100,0,Completed,16.814067,74.346625,9050f7efc1235c91,16.814441,74.346548,NORMAL
WRK00082,Punjab,Jalandhar,Amritsar,LS,MP019,Harpreet Singh,Health Centre at Jalandhar Ward 3,Health Centre,DRDA,V010,Shree Ram Builders,2021-04-10,2021-05-20,5098144.58,5600000,2716432.56,58,25,In Progress,29.668516,75.372744,09a0a0f673b0a091,29.667879,75.373293,NORMAL
WRK00083,Uttar Pradesh,Prayagraj,Varanasi East,LS,MP003,Rajesh Gupta,Library Building at Prayagraj Ward 26,Library Building,DRDA,V020,Horizon Build Co,2023-06-20,2023-08-06,4316591.22,4100000,1162525.45,25,14,In Progress,27.615768,78.53062,269ed4c980599b93,27.616426,78.53054,NORMAL
WRK00084,Gujarat,Ahmedabad,Ahmedabad East,LS,MP011,Rameshwar Patel,Boundary Wall at Ahmedabad Ward 26,Boundary Wall,DRDA,V010,Shree Ram Builders,2021-02-25,2021-03-22,997605.75,900000,743537.64,76,16,In Progress,20.830233,70.486253,c643530068a51c68,20.830001,70.486404,NORMAL
WRK00085,Gujarat,Ahmedabad,Ahmedabad East,LS,MP011,Rameshwar Patel,Health Centre at Ahmedabad Ward 10,Health Centre,PWD,V005,Golden Gate Contractors,2023-02-03,2023-03-03,4971693.32,5600000,5109582.93,100,0,Completed,24.536286,71.957285,952e6abb14dd5061,24.536521,71.957943,NORMAL
